TwoClass	FourClass	ID	Text	https	http	Trump	people	police	country	America	President	Obama	Donald	state	U.S.	government	children	law	veterans	Americans	Hillary	time	day	God	Clinton	man	border	years	States	flag	world	refugees	illegals	life	immigration	nation	way	today	history	United	New	nothing	heroes	Muslims	citizens	freedom	video	war	immigrants	officer	lives	woman	officers	year	family	aliens	home	House	security	rights	media	care	benefits	times	soldiers	things	morning	men	American	school	cops	women	politicians	attack	something	news	Islam	patriots	money	terrorists	parents	city	thing	laws	criminals	Muslim	attacks	Black	child	York	wall	policy	share	right	administration	welfare	everyone	percentage	liberals	part	health	thousands	office
F	FNF	FN_FB_BPAT_400	"A disturbingly high number of veterans reported problems in obtaining needed medical care, despite billions of extra dollars poured into the VA. At least tens of veterans are waiting five months or more for potentially critical health procedures, such as colonoscopies, and other categories of specialty care that require timely attention. Our veterans gave their blood for our freedoms, they have been very loyal to the United States, and they are true patriots. So, why are they forced to fight for health care? They deserved the best!"																-4										5											5																						3																5																							1		
F	FNF	FN_FB_BPAT_263	"The young generation brainwashed by leftist propaganda doesnâ€™t want this to happen. Unfortunately, morality is going down, and thereâ€™s little we can do about it. All we can is bringing our own children up with conservative values."														2																																																																																						
F	FNF	FN_FB_UNMUS-103	"And we too stand with you brother, one country one family !!!"						1																																														1																																																
F	FNF	FN_FB_BPAT_425	If only our politicians could share the ideals oh of soldiers!																																																														1								1																				1										
F	FNF	FN_FB_BLACT_107	repost @ameriesblog																																																																																																				
F	FNF	FN_FB_UNMUS-390	surprised ? got the message ? Share !																																																																																										1										
F	FNF	FN_FB_BPAT_64	"Good morning, patriots! God bless the Old Glory, may it fly free and proud eternally. Have a good Saturday!"																					6																																											3											3																									
F	FNF	FN_FB_BLACT_176	Did you know that? Write in comment! Repost from Williams&Kalvin																																																																																																				
F	FNF	FN_FB_BLACT_203	repost Blackslayingit																																																																																																				
F	FNF	FN_FB_LGBT_488	"These days many Americans focused on a Christian who is using an official position to speak out on social issuesâ€”drawing throngs of supporters as much as critics. I'm talking about Pope Francis' visit to the US. Unlike Kentucky county clerk Kim Davis, the pope doesnâ€™t want to judge anyone nor assume whom God judges: â€œA person once asked me, in a provocative manner, if I approved of homosexuality. I replied with another question: â€˜Tell me: when God looks at a gay person, does he endorse the existence of this person with love, or reject and condemn this person?â€™ We must always consider the person. Here we enter into the mystery of the human being.â€ Pope Francis has made a number of moves to make the Catholic Church more open and welcoming toward lesbian, gay, bisexual and transgender people. He has been working to make the church more inclusive as a whole, to give this rigid religious institution chance of atonement. And thatâ€™s understandable â€“ because the church did bad "				0													0				-2																																										-4																																					
F	FNF	FN_FB_UNMUS-198	Many Non-Muslims and mainly Christians sometimes Mock how Muslims pray ... here is the surprise !!																																									-2																																																											
F	FNF	FN_FB_SBORD_379	"Terror-exporting countries combined with record levels of immigration into the U.S. present obvious national security risks. More than 70 foreigners from the countries named in Trumpâ€™s Travel Ban executive order (Iran, Iraq, Libya, Somalia, Sudan, Syria, and Yemen) have been convicted of terrorism charges in the U.S. since 9/11/2001. Refugees moving into EU, and now U.S., brought only dysfunctional cultures, poverty, diseases and crime with them. All in all it takes a special kind of idiot (or a traitor...or both) to think that importing tens of thousands of welfare recipients from terror-exporting countries is a good idea. A bunch of greedy, aggressive, uneducated, unskilled, non-English speaking foreigners IS NOT AN ASSET, whatever liberals say. In fact, when you compare cost vs. benefit, it is obvious that illegals are a liability. Look at our debt and enormous spending on social security/welfare/immigrant & refugees support. Illegal foreign invaders claim & get $ billions of bene"						-4									-6		1												-7	-3		-8																								2				-6					-4																							-6					2			0			0	
F	FNF	FN_FB_BPAT_121	"We are free men of America and neither tyranny nor anti-Constitutional politicians can change it! Our parents and grandparents had their guns to protect themselves. And so do we, and so will our children!"							-3							1																																																			-3					-4								-2																						
F	FNF	FN_FB_BPAT_301	"It became so popular now to shout whose life matters and whose doesnâ€™t. Hereâ€™s what I say: the life of a single man who spilled his blood in the name of his country costs more than lives of the whole Government put together. I wonder why isnâ€™t the wide society of liberal â€˜right-defendersâ€™ fighting for their rights? Our veterans have earned respect by blood and sweat, and they must always be the first ones in welfare lists."						-2							0			3							-2								-2																	0									-3																																		0		0							
F	FNF	FN_FB_SBORD_497	"Libtards should really stop calling us 'racist', just because we are against illegal immigration and islamist terror. â€˜Illegalâ€™ is a crime and has nothing to do with racism, as well as extremism. But it seems the leftist idiots are unable and unwilling to use their brain. Instead, they continue to embarrass themselves with their own ignorance and unbelievable stupidity. Moreover, they demand for our country to be flooded with savages like itâ€™s already happening in EU! These â€œpoor refugeesâ€ do all they want, exploit their protected status. They gang rape little girls, they setting other peopleâ€™s cars on fire they defecate and urinate right in the middle of the street. We donâ€™t need this scum of the earth on American soil!"						-1																										-8							-4																											-4																									0									
F	FNF	FN_FB_LGBT_435	"I chose to go into work today. I choose what to wear as well as what I feel like eating for lunch. I have never made a CHOICE to be attracted to men or women. My sexuality is not a choice. I do not choose to breathe, I just do. I'm just bisexual. But my brother is straight. We were raised identically. I'm sorry if that scares some of you, but love is a beautiful thing regardless of the package it comes in and we all have a right to love and be loved, even if you don't approve of the packaging."																																			0																														2				2											0											7									
F	FNF	FN_FB_LGBT_442	"Hell yeah. When stuff like this happens I barely stop myself from saying careful baby, your mask of open-minded straight ally is slipping, and there's something really ugly and hypocritical underneath"																																																																								-4																												
F	FNF	FN_FB_BPAT_285	"Having a hardworking President embodying his promises just days after the inauguration is like a breath of fresh air, especially after eight years of the Golfer-in-Chief."								4																	2																																																																											
F	FNF	FN_FB_SBORD_304	7 words that perfectly describe Hillary Clinton.																		2				2																																																																														
F	FNF	FN_FB_LGBT_24	Wow! A couple of shots for me please!																																																																																																				
F	FNF	FN_FB_SBORD_64	"WTF?? Veterans before illegals, period! I'm so pissed off with our libtarded traitors calling themselves lawmakers. In reality all they make is lawlessness!"																1														1																																																																						
F	FNF	FN_FB_BPAT_160	Sheriff David Clarke really deserves this title. He is an honest man concerned about our country. He stands for our brave policemen who fight a war unleashed against them by corrupted liberal politicians and biased establishment media. He became the voice of common sense exposing the radical intensions of Black Lives Matter extremists. Clarke is a living proof that law enforcement officers are honest men whose only duty is to protect and serve. Clarke also tries to tell the people obvious fact unknown for many liberals: Clinton will continue the war on cops and sheâ€™ll continue the â€˜war on copsâ€™ agenda and provoke more violent black riots.				0		-2									-4							-3	-2																						-11			-2		-4								-5							-4			-3		-11															-7											-3				
F	FNF	FN_FB_BPAT_289	"Now that Obama is leaving the office, we should end this war on our History. Thereâ€™s no reason for renaming the schools and destroying the monuments built by our ancestors. This is our history and it can never be forgotten. Leftists are ready to do everything to destroy the Southern heritage. When legitimate methods donâ€™t work, they simply start vandalizing. This canâ€™t go on; the history of our own homeland must be protected!"									-3																											-2									-3																																																							-3
F	FNF	FN_FB_BLACT_198	"In America, white people are just people who have made mistakes, and will always have second chances and rehabilitation. But black men? We are always guilty until proven guilty."				-2			-2																																																										0																				0															
F	FNF	FN_FB_LGBT_19	"I've always loved Morgan Freeman, this just adds to it..."																																																																																																				
F	FNF	FN_FB_LGBT_391	A little kidâ€™s perspective on gay peopleâ€¦ðŸ˜ðŸ‘‹ðŸ»																																																																																																				
F	FNF	FN_FB_UNMUS-15	Terrorists hijacked Islam and killing everyone Muslims and non-Muslims and even themselves then blaming Islam !!! #prayforTurkey																																									-10																																	-10			-7																	-9						
F	FNF	FN_FB_BPAT_209	One can't contribute to his country's freedom greater than by dying in the name of his homeland. We are proud of our soldiers who confidently keep on performing their duty even despite being despised by the whole President's administrations. Brave men in uniform will always remain our heroes.						0		0																																6			1																			2			6																																			
F	FNF	FN_FB_BLACT_15	I wish white men were as vocally outraged about rapists going free as they are about a guy not standing for the National Anthem.																																																																	-7																																			
F	FNF	FN_FB_SBORD_296	"I'm really concerned if victory will go to Hillary Clinton due to voter fraud. After recent Obama's words I'm concerned even more. Illegal aliens, dead people, incarcerated criminals or refugees who can't even speak English...they all VOTE for Killary, and our so called President, the Kenyan bastard Barack Hussein Obama only encourages them. POTUS administration shamelessly exploit the rigged system, Democrats already have a great experience at this. If we can't trust the State Department, if we can't trust DOJ, if we can't trust the FBI (traitorous Comey let Killary off the hook!!), if we can't trust the DHS, hell we can't trust any division of our Federal Government, so it seems logical we can't put much trust in today's elections system. They ALL work together to get Democrats over the top in these elections!! I do believe this and I believe that this will be the last election in the US if Killary is elected. I for one and many who believe like I do will not sit by quietly while our"				-9				-1	-1		-4		-3					-5				-5							-9						0																		-9				3																									-9										0								
F	FNF	FN_FB_BPAT_162	"The identity of the officer killed today in Colorado Springs has been confirmed by the University of Colorado-Colorado Springs as UCCS police officer Garrett Swasey, 44. He was killed by the suspect of the Planned Parenthood shootings as he responded to the scene shortly before noon. He was killed in the line of duty, leaving behind a family including wife Rachel Swasey (nee' Aguilar), and 2 young children. Daughter Faith is 6, and his son Elijah is 10. Elijah will be turning 11 in a few days. Officer Swasey was a six-year veteran of the UCCS Police Department. UCCS officers are sworn, state-certified police officers. Swasey died running into an active shooter call to save others. We mourn the loss of a brave police officer."					-3						0			0																					-4												-7			0	0	-6																																																
F	FNF	FN_FB_SBORD_313	"Sharia law is a rigid code of laws based on and guided by the Islamic faith. It remains unchanged for many centuries. Basically it calls all of humanity to march backwards 1,400 years. Sharia rejects science, all western culture, history, human's rights; it denounces all religions except Islam. It generally views women as property, allowing a Muslim man to â€œownâ€ multiple wives. it's barbaric and backward. I cannot fathom why libtarded feminists think hijab and Sharia in general are signs of women's emancipation. Classical liberal 'logic'. But there's more. It's disturbing how fast the barbaric cult is spreading across the U.S. Moreover it's funded by our taxpayers' money! For instance, Muslim men in Michigan are allowed to claim up to 4 wives while on welfare. They are refugees you see, and that means they don't have to worry about learning English, or being employed. What the hell? American taxpayers money is spent on this??? Especially considering polygamy is illegal in the U.S.!"															-2								0		0				-6							-2																					-2								0	-2			0					0		-5					0		0										0							
F	FNF	FN_FB_LGBT_122	"Actually, I don't understand why gay people should 'come out'... Straight people don't feel the need to announce to the world that they're straight. Being truly accepted for what we are, means not having to justify or explain."				-2																								0																																																																								
F	FNF	FN_FB_BPAT_102	Thereâ€™s no place for illegals in America!							1																							1																																																																						
F	FNF	FN_FB_LGBT_422	"I think homosexuality is abomination because the Bible told me so. Well then, let's not forget about other abominations as well dear believer. I can count at least 3 of the ones mentioned in the Bible on your person. According to your own logic, that makes you a triple abomination. How do you like that? You're welcome!"																																																																																																				
F	FNF	FN_FB_UNMUS-296	"Stop bombing Syria! The Syrians never harmed any American citizen. This is just stupid. Politicians spend American money for killing common people, but not terrorists. Terrorists will only grow stronger from overthrowing the Assad regime and will continue to create bloody arbitrariness. Please like/share this post if you are not ignorant."				-2																																																														-2				-2						-2	-7													4										
F	FNF	FN_FB_BPAT_278	Good morning my fellow patriots! I am proud to be a patriot! I am happy to be a part of this great country!						6																																																										3											3																						6			
F	FNF	FN_FB_BPAT_252	True American.																																																																		2																																		
F	FNF	FN_FB_LGBT_67	Never go straight only go forward!âœŒðŸ¼ðŸŒˆ																																																																																																				
F	FNF	FN_FB_LGBT_388	"Regardless of context, the point remains the same: homophobia is so f STUPID."																																																																																																				
F	FNF	FN_FB_UNMUS-461	"Don't just be against hate and bigotry, take a stand, say something, do something .... Hatred and Bigotry Are Not the American Way."																																		-6																																-6						-8																												
F	FNF	FN_FB_SBORD_322	"As long as there are poverty-stricken, hungry, homeless Americans, no illegal immigrants should receive state or federal benefits. U.S. citizens should come first!"											-8						-8																									1				-8														-2																																								
F	FNF	FN_FB_LGBT_241	"Iâ€™m so tired of people asking me that. Being bisexual is not about doubling your chances, it is about freedom to love whomever you want."				-2																																							3																																																									
F	FNF	FN_FB_BPAT_381	"Obama should stop treating military veterans like garbage! Millions of American soldiers who were deployed in Iraq and Afghanistan struggle with the difficulties they face when they return back home. Despite the fact that Obama prefers to keep the problems hidden, our veterans cannot afford the level of medical care they need. The Government simply doesn't care for them!"									-4				3			-2																																						-4					3			-2				-2																																		
F	FNF	FN_FB_LGBT_133	I know so many male nurses that are straight! So whoever actually thinks being a male nurse makes you gay is a complete idiot! Thank you for being awesome....â¤ï¸																																																																																																				
F	FNF	FN_FB_UNMUS-97	"Muslims are very nice people especially when you give them love and respect. Please, Share if you agree."				9																																					6																																																	2										
F	FNF	FN_FB_BPAT_201	"A poem Because of the Brave by Ron Tranmer: America, the beautiful, home of the brave and free. A land that God, our Father, has given you and me. He knows that in our world, freedom always has itâ€™s price, and can easily be lost, without fight and sacrifice. So with a love of country our bravest give their all, Many even life itselfâ€¦ Weâ€™re grateful to them all. Our Army, Navy, National Guard, Air Force and Marines. Present and pastâ€¦all have made our bell of freedom ring. We thank them for their sacrifice and pray to God above, that they may know the greatness of our gratitude and love Because of them, our nations flag will ever proudly waive. And we are still home of the free because of themâ€¦ The brave."						6	9														7						7	0			8												0											12																																														
F	FNF	FN_FB_SBORD_151	"A new report shows explosive growth in the number of U.S. residents 5 years of age and older who speak a language other than English at home. The report by the Center for Immigration Studies (CIS), which breaks down new Census data, shows a record number of new immigrants in the country whose primary language is not English, and the fastest growing language is Arabic. In 2015 a record 64.7 million U.S. residents spoke a foreign language at home â€“ up 5.2 million since 2010 and up 1.5 million in just the last year. The largest percentage increase from 2010 to 2015 was for speakers of Arabic, Spanish, Hindi (an India language) and Urdu (Pakistanâ€™s national language). Itâ€™s already creating numerous problems. We currently losing one of the foundations that helps hold together a diverse society in America â€“ our language and culture. Schools have been overwhelmed by Third World refugees over the past 10 years, forcing them to hire expensive linguistics experts and translators. The lan"				1		-16	-10		0								0	0	1						-7	0		-15	-7			0	-9				0	-10					0			0					0			-2																																														
F	FNF	FN_FB_LGBT_189	"Absolutely fabulous Ellen Degeneres. Oh how I laughed at this joke about labels, it's absolutely brilliant IMHO :-)"																																																																																																				
F	FNF	FN_FB_BPAT_472	"God bless the servicemen of America! While we face these serious domestic issues, letâ€™s not forget that our peace and freedom are achieved by our veterans and protected by our soldiers. Glory to our troops!"							3									0					3																						0																			0																																						
F	FNF	FN_FB_BPAT_67	"Thank every veteran for protecting our freedom! The Government might have abandoned you, but the nation never will!"													-3																				-3										3																																																									
F	FNF	FN_FB_BPAT_28	"We must always remember our heroes... in February 2013 America lost a great warrior and hero. RIP Chris Kyle. You will never be forgotten! â€œIt was my duty to shoot the enemy, and I donâ€™t regret it. My regrets are for the people I couldnâ€™t save: Marines, soldiers, buddies. Iâ€™m not naive, and I donâ€™t romanticize war. The worst moments of my life have come as a SEAL. But I can stand before God with a clear conscience about doing my job.â€"				0			6														0										-3									3					1																	2																																						
F	FNF	FN_FB_SBORD_307	"According to liberal agenda, patriotism is a form of racism and to be proud of your country is something shameful â€“ especially if you are American. Thankfully, we donâ€™t have to tolerate this leftist crap anymore. In his inaugural speech, President Donald Trump delivered an important message, a message we never had a chance to hear from a traitorous socialist Obama: from this day forward, itâ€™s going to be America First. And I couldnâ€™t agree more. I will never apologize for being American; on the contrary, I am proud to be American. I may be deeply ashamed and embarrassed of my Government, but I love my country, my flag, my culture, national identity, language and heritage. I believe if everyone will do their part we will make America great again. Thereâ€™s a lot of problems and injustice and corruption, but I will not be silent about it because ignoring the problem or sugarcoating it with PC BS will never resolve anything."			0			-5	3	0	-3	0			-2							-3							0																																							-3						-3																						3			3			
F	FNF	FN_FB_UNMUS-315	"THANKS CANADA, Everytime you restore the faith in humanity !!"																																																																																																				
F	FNF	FN_FB_BPAT_437	"Dear patriots, we are united and strong! Today Obamacrats try to ban all symbols of our great history! They donâ€™t respect our ancestors' bravery who fought and died for their freedoms! They just want to re-write American history. We cannot let them do it because we are patriots! Christopher Kimble is one of us. He lives in New Orleans, Louisiana. He and his fellows will hold a Southern heritage rally this Sunday (January, 17th) at 10:00 am at the Beauregard monument in New Orleans, LA. If you live in New Orleans or neighboring cities and towns, please join the rally! Bring your friends and flags and let us flood the city with Southern Pride! We would be glad if you make photos at the rally and send them to us. Together we can save our history!"																																			3	7	3	2										0																		0									4				5																					
F	FNF	FN_FB_BPAT_11	Our debt to the heroic men and valiant women in the service of our country can never be repaid. They have earned our undying gratitude. America will never forget their sacrifices. â€” President Harry S. Truman						3	0	0																																																									3				3																															
F	FNF	FN_FB_LGBT_92	This touch my heart :') A parents that accepts their child and loves them unconditionally is the best kind of parent....																																																																														3								7														
F	FNF	FN_FB_BLACT_248	We have been underestimating how bad things are for black Americas.																																																															-2																						-2															
F	FNF	FN_FB_BPAT_227	Loving your country and honoring its traditions â€“ how in Godâ€™s name can that be offensive?						4																																																																																														
F	FNF	FN_FB_UNMUS-46	SURPRISED ? ISIS NEVER WAS AND NEVER WILL BE ISLAMIC !																																																																																																				
F	FNF	FN_FB_BLACT_235	repost BerryCurly																																																																																																				
F	FNF	FN_FB_BPAT_125	"Why am I against leftists? I see how everything goes wrong thanks to them. Just look at Hillary, she says a pro-life generation man is a terrorist. But whatâ€™s about â€˜protestersâ€™ who burn U.S. flags and call to attack the police or churches? She says they are just critics. If you hate America, then leave!"					-3		-5											-3					-3								-3																																								-3																													
F	FNF	FN_FB_BPAT_330	"Underwear model Alex Minsky is a former U.S. marine who lost his right leg in Afghanistan after his truck ran over an explosive. He spent 58 days in a coma, and then was in active duty while in a San Diego hospital for 17 months before being honorably discharged. What do you think about him?"																																																																																											-2									
F	FNF	FN_FB_SBORD_32	"Itâ€™s not an immigration, itâ€™s an invasion! Hoards of illegals are rushing through our unprotected borders in pursuit of easier life and countless benefits. They bluntly disregard American law and ravage our economy and destroy our cultural heritage. To save America we must stop illegal immigrant invasion."							0								-9															-5	-3	1																												-3						-9																																		
F	FNF	FN_FB_LGBT_180	I'm made of Holmium and Molybdenum. HoMoðŸ˜‰																																																																																																				
F	FNF	FN_FB_UNMUS-108	Because we all follow the same ONE GOD !!!																					1																																																																															
F	FNF	FN_FB_BLACT_353	"I guess â€œsmilingâ€ is against the law now. In America, he should consider himself lucky. The officer could have killed him."							2								1																																-4																																																					
F	FNF	FN_FB_UNMUS-159	"Muslims are not terrorists, and terrorists are not Muslims. share if you agree."																																									-3																																				-3													0										
F	FNF	FN_FB_UNMUS-494	Share if you agree !!!																																																																																										1										
F	FNF	FN_FB_UNMUS-433	Subhan Allah !																																																																																																				
F	FNF	FN_FB_BLACT_441	repost @kollegekidd																																																																																																				
F	FNF	FN_FB_LGBT_184	"Hey, guys, tell me a little about yourself!"																																																																																																				
F	FNF	FN_FB_LGBT_263	"I would rather be known in life as an honest sinner, than a lying hypocrite...."																															-8																																																																					
F	FNF	FN_FB_BLACT_340	"It's a real shame to know that police officers have lost the focus on protect and serve people, not terrorists."				0	-3																																													-3																											0																							
F	FNF	FN_FB_BPAT_482	"Glory to our soldiers! Our soldiers are the bravest sons of America, the elite of our nation, and the pride of our country. No matter how hard our current Administration tries to blacken the soldiersâ€™ image - true heroes of America will always stand to protect the land of the Free."						2	10																										5							5																						6																														5								
F	FNF	FN_FB_BLACT_40	"COP ATTACKS 76-YEAR-OLD BLACK GRANDMA FOR NOT STANDING UP FAST ENOUGH Another day, another disturbing video surfaces on social video. Cell phone video, recorded by a victim`s friend, shows a 75-year-old woman being forcefully pulled from her seat and then arrested by LA cops just because was sitting in the wrong section inside Union Station. The video shows cops approaching the elderly woman and asking her to leave. Minutes later, cops can be seen attacking the frail woman from a seat in an area reserved for train passengers who have purchased tickets. When a woman repeatedly told the authoritarian agents that she can`t stand without the assistance of her cane, they ignored her and locked handcuffs around her wrists. Then one of the cops proceeded to shove her head down in order to force cooperation and smashed it into the wooden chair. Then the woman can be heard screaming in pain. The 76-year-old disabled woman was literally brutally treated by cops for sitting in the â€˜wrongâ€™ spo"				-3	-2															-2																								-3					-17		-9														-4			-16	-2															-3	-7															
F	FNF	FN_FB_BLACT_145	"The society supports protests, but not so much when protesters are black."																																																																																					-2															
F	FNF	FN_FB_LGBT_465	Even if you are someone we don't know... just remember: we LOVE you! Thank you for being with usâ¤ï¸ðŸ’›ðŸ’šðŸ’™ðŸ’—ðŸ’œ																																																																																																				
F	FNF	FN_FB_UNMUS-448	"When I was a teenager, I came to the attention of a group of people with a very sinister agenda (to destroy Islam) . It is not a governmental group that I am aware of, they simply use their positions in the government to advance their cause. One member of this group approached me because he saw that I was articulate, motivated and very much the womenâ€™s rights advocate. He told me that if I studied International Relations with an emphasis in the Middle East, he would guarantee me a job at the American Embassy in Egypt. He wanted me to eventually go there to use my position in the country to talk to Muslim women and encourage the fledgling womenâ€™s rights movement. I thought this was a great idea. I had seen the Muslim women on TV; I knew they were a poor oppressed group, and I wanted to lead them to the light of 20th century freedom. With this intention, I went to college and began my education. I studied Quran, hadith and Islamic history. also studied the ways I could use this infor"				-8		2							0																							0							0														2									0			-3					-8									-3																	
F	FNF	FN_FB_BLACT_7	repost @thebassman102																																																																																																				
F	FNF	FN_FB_SBORD_97	"Today US has the dumbest immigration policies in the industrialized world. Others ask immigrants what they have to offer, while our leftist politicians accept every scum of the earth that is capable to vote for Dems. It angers me to no end that today our Govt valuing illegals above lawful immigrants and US citizens. Illegal aliens, asylum seekers, refugees â€“ they all collect their welfare from the American taxpayers, putting an enormous burden America cannot afford. Illegals have no respect for our neighborhoods, traditions, hell most of them canâ€™t even speak English! They scavenge and steal, as if trying to humiliate us as much as possible. They protest in our streets â€“ and authorities always legalize these rallies â€“ where they waiving their countries flags and demanding even more free stuff to be hand out to them. They need to be returned to their country and not allowed back, as it happens today with our unsecured borders. NO AMNESTY, NO MORE FREEBIES, NO FREE MEDICAL, NO FR"						0	-4																					-2	-4	-1		-2			-4							2				2							-4													-4				-3																							-6							
F	FNF	FN_FB_LGBT_125	Still don't believe he's that age! Jim Parsonsâ¤ï¸																																																																																																				
F	FNF	FN_FB_UNMUS-2	"I think God has ordered all mankind with modesty, so what is your problem with the Islamic veil (Hijab) ????"																					0																																																																															
F	FNF	FN_FB_BPAT_488	"It is a flag of battle glory, freedom and independence and it was never a flag of slavery and racism."																											-2																0																																																									
F	FNF	FN_FB_UNMUS-268	ÙŠØ¨Ø¯Ùˆ Ø§Ù† Ø§Ù„Ø­Ø¬Ø§Ø¨ ÙƒØ§Ù† Ø¬Ø²Ø¡ Ù…Ù† Ø§Ù„Ø«Ù‚Ø§ÙØ§Øª Ø§Ù„ØºØ±Ø¨ÙŠØ© Ù…Ù†Ø° Ù‚Ø±ÙˆÙ†.																																																																																																				
F	FNF	FN_FB_BPAT_151	The Constitution doesnâ€™t give a president the right to write law. The right of the people to keep and bear arms shall NOT be INFRINGED! But Dems don't use the Constitution. They over-ride it.				1				0							0																																																																												0									
F	FNF	FN_FB_UNMUS-224	"32-year-old doctor and public health activist Abdul El-Sayed could become the first Muslims governor of the United States, after announcing his candidacy for Michiganâ€™s governorship. El-Sayed was appointed by Mayor Mike Duggan as Health Officer and Executive Director of the Detroit Health Department in 2015, becoming the youngest health commissioner in a major U.S. city. The successful doctor graduated with high academic honors from the Michigan Medical School, and received a masterâ€™s degree from Columbia University before doing a doctorate in the field of public health at Oxford University. However, El-Sayed may face difficulties garnering support from Michiganders, as the state has witnessed a rise in Islamophobia in recent years."											0														0	0											0				0						0				0																0												0																			0		
F	FNF	FN_FB_BPAT_144	"Now thatâ€™s the attitude our heroes deserve. Since theyâ€™re not getting any help from the White House, itâ€™s up to the nation to support our militaries, our veterans and all who put their lives at risk in the name of our security."																0																	2							3								2							2	0																																												
F	FNF	FN_FB_BPAT_100	Every American should be thankful to U.S. vets who fought for our freedoms! Itâ€™s so pity to see how they are forced now to struggle to get health care at the VA. The government has forgotten its heroes despite of that they have been always loyal to the United States. Thatâ€™s why I constantly say that our vets deserve the best!													3													2											2			5																			0							2																																0		
